"variable","pip","is_true","method_scenario","dataset","mechanism","imputation"
"fibr_ter_03",0.0264102564102564,FALSE,"top","MI","MNAR","MICE"
"fibr_ter_05",0.00897435897435897,FALSE,"top","MI","MNAR","MICE"
"fibr_ter_06",0.00897435897435897,FALSE,"top","MI","MNAR","MICE"
"fibr_ter_07",0.192051282051282,FALSE,"top","MI","MNAR","MICE"
"fibr_ter_08",0.0635897435897436,FALSE,"top","MI","MNAR","MICE"
"GIPO_K",0,FALSE,"top","MI","MNAR","MICE"
"K_BLOOD",0,FALSE,"top","MI","MNAR","MICE"
"GIPER_NA",0,FALSE,"top","MI","MNAR","MICE"
"NA_BLOOD",0,FALSE,"top","MI","MNAR","MICE"
"ALT_BLOOD",0.00794871794871795,FALSE,"top","MI","MNAR","MICE"
"AST_BLOOD",0,FALSE,"top","MI","MNAR","MICE"
"KFK_BLOOD",0.00179487179487179,FALSE,"top","MI","MNAR","MICE"
"L_BLOOD",0.00333333333333333,FALSE,"top","MI","MNAR","MICE"
"ROE",0.317692307692308,FALSE,"top","MI","MNAR","MICE"
"TIME_B_S",0.00512820512820513,FALSE,"top","MI","MNAR","MICE"
"NA_KB",0,FALSE,"top","MI","MNAR","MICE"
"NOT_NA_KB",0.0135897435897436,FALSE,"top","MI","MNAR","MICE"
"LID_KB",0,FALSE,"top","MI","MNAR","MICE"
"NITR_S",0.00974358974358974,FALSE,"top","MI","MNAR","MICE"
"BF",NA,FALSE,"top","MI","MNAR","MICE"
"PostProbs",NA,FALSE,"top","MI","MNAR","MICE"
"R2",NA,FALSE,"top","MI","MNAR","MICE"
"dim",NA,FALSE,"top","MI","MNAR","MICE"
"logmarg",NA,FALSE,"top","MI","MNAR","MICE"
"Alanine_Aminotransferase_.ALT.",0.99,TRUE,"independent","MIMIC","MCAR","MEAN"
"Albumin",0.543703703703704,FALSE,"independent","MIMIC","MCAR","MEAN"
"Alkaline_Phosphatase",0.976666666666667,FALSE,"independent","MIMIC","MCAR","MEAN"
"Anion_Gap",0.0207407407407407,FALSE,"independent","MIMIC","MCAR","MEAN"
